Time (s),WAA_angle,WAA_disp,WFE_angle,WFE_disp,EPS_angle,EPS_disp,EFE_angle,EFE_disp
0.0,27.830204,0.0,8.354851,0.0,-39.321169,0.0,-47.998645,0.0
0.000826,27.830042,-0.0,8.354992,0.0,-39.32169,-0.0,-47.998475,0.0
0.001652,27.829856,-0.0,8.355148,0.0,-39.322284,-0.0,-47.998287,0.0
0.002478,27.829642,-0.0,8.35532,0.0,-39.322952,-1e-06,-47.99808,0.0
0.003304,27.829401,-1e-06,8.355505,0.0,-39.323697,-2e-06,-47.997854,1e-06
0.00413,27.82913,-1e-06,8.355702,1e-06,-39.324518,-5e-06,-47.997611,2e-06
0.004956,27.82883,-3e-06,8.355911,3e-06,-39.325414,-1.1e-05,-47.997352,3e-06
0.005782,27.828498,-7e-06,8.356129,6e-06,-39.326383,-2.1e-05,-47.997078,7e-06
0.006608,27.828134,-1.2e-05,8.356354,1e-05,-39.327422,-3.9e-05,-47.996789,1.2e-05
0.007434,27.827738,-2.1e-05,8.356583,1.7e-05,-39.328529,-6.7e-05,-47.996488,2.1e-05
0.00826,27.82731,-3.4e-05,8.356815,2.8e-05,-39.329699,-0.000107,-47.996175,3.3e-05
0.009086,27.826852,-5.2e-05,8.357047,4.2e-05,-39.330927,-0.000163,-47.995852,5.1e-05
0.009912,27.826363,-7.7e-05,8.357277,6.1e-05,-39.33221,-0.000239,-47.995519,7.4e-05
0.010739,27.825847,-0.000109,8.357502,8.5e-05,-39.333541,-0.000338,-47.995178,0.000104
0.011565,27.825305,-0.000151,8.357721,0.000116,-39.334917,-0.000465,-47.99483,0.000142
0.012391,27.824743,-0.000203,8.357931,0.000154,-39.336331,-0.000622,-47.994475,0.000189
0.013217,27.824164,-0.000267,8.358129,0.000199,-39.337776,-0.000814,-47.994114,0.000245
0.014043,27.823574,-0.000344,8.358316,0.000253,-39.339248,-0.001043,-47.993747,0.000312
0.014869,27.822978,-0.000436,8.358487,0.000314,-39.340739,-0.001313,-47.993377,0.000391
0.015695,27.822382,-0.000544,8.358643,0.000385,-39.342244,-0.001627,-47.993002,0.000481
0.016521,27.821792,-0.000668,8.358782,0.000463,-39.343756,-0.001985,-47.992625,0.000583
0.017347,27.821214,-0.00081,8.358902,0.000551,-39.345269,-0.00239,-47.992246,0.000697
0.018173,27.820653,-0.00097,8.359002,0.000645,-39.346777,-0.002842,-47.991866,0.000823
0.018999,27.820114,-0.001148,8.359082,0.000747,-39.348275,-0.003341,-47.991487,0.000961
0.019825,27.8196,-0.001345,8.359142,0.000856,-39.349759,-0.003886,-47.99111,0.001111
