Time (s),WAA_angle,WAA_disp,WFE_angle,WFE_disp,EPS_angle,EPS_disp,EFE_angle,EFE_disp
0.0,29.080282,0.0,-24.488283,0.0,-44.919945,0.0,-53.067147,0.0
0.00079,29.080741,0.0,-24.488143,0.0,-44.920157,-0.0,-53.067501,-0.0
0.001579,29.081239,0.0,-24.487994,0.0,-44.920394,-0.0,-53.06788,-0.0
0.002369,29.081773,0.0,-24.487835,0.0,-44.920655,-0.0,-53.068281,-0.0
0.003158,29.08234,1e-06,-24.48767,0.0,-44.92094,-1e-06,-53.068698,-1e-06
0.003948,29.082934,3e-06,-24.487498,1e-06,-44.921248,-2e-06,-53.069129,-3e-06
0.004737,29.083551,8e-06,-24.487323,2e-06,-44.921579,-4e-06,-53.069567,-6e-06
0.005527,29.084184,1.5e-05,-24.487147,5e-06,-44.921929,-7e-06,-53.070006,-1.2e-05
0.006316,29.084827,2.8e-05,-24.486971,8e-06,-44.922297,-1.3e-05,-53.070442,-2.1e-05
0.007106,29.085472,4.7e-05,-24.486797,1.4e-05,-44.922682,-2.3e-05,-53.070868,-3.6e-05
0.007895,29.086114,7.5e-05,-24.486626,2.2e-05,-44.923082,-3.6e-05,-53.071279,-5.6e-05
0.008685,29.086746,0.000113,-24.486458,3.4e-05,-44.923494,-5.5e-05,-53.071668,-8.5e-05
0.009474,29.087361,0.000164,-24.486295,4.9e-05,-44.923917,-8.1e-05,-53.072031,-0.000123
0.010264,29.087952,0.00023,-24.486136,6.8e-05,-44.924349,-0.000114,-53.072363,-0.000172
0.011054,29.088515,0.000313,-24.485979,9.2e-05,-44.924791,-0.000156,-53.072659,-0.000232
0.011843,29.089044,0.000415,-24.485823,0.000122,-44.925239,-0.000209,-53.072914,-0.000306
0.012633,29.089533,0.000537,-24.485665,0.000157,-44.925695,-0.000273,-53.073126,-0.000394
0.013422,29.089979,0.000681,-24.485504,0.000198,-44.926158,-0.000349,-53.073291,-0.000497
0.014212,29.090376,0.000846,-24.485336,0.000246,-44.926628,-0.000438,-53.073405,-0.000615
0.015001,29.09072,0.001035,-24.485158,0.000299,-44.927106,-0.000541,-53.073467,-0.000747
0.015791,29.09101,0.001246,-24.484967,0.000359,-44.92759,-0.000659,-53.073473,-0.000894
0.01658,29.091242,0.001479,-24.484759,0.000426,-44.928083,-0.000791,-53.073423,-0.001053
