Time (s),WAA_angle,WAA_disp,WFE_angle,WFE_disp,EPS_angle,EPS_disp,EFE_angle,EFE_disp
0.0,-29.979545,0.0,-19.045115,0.0,9.114966,0.0,25.174558,0.0
0.000758,-29.98037,-0.0,-19.044829,0.0,9.115521,0.0,25.178008,0.0
0.001515,-29.981247,-0.0,-19.044581,0.0,9.1162,0.0,25.181791,0.0
0.002273,-29.982168,-0.0,-19.044382,0.0,9.117015,0.0,25.185901,2e-06
0.00303,-29.983123,-0.0,-19.04425,1e-06,9.117979,1e-06,25.190325,8e-06
0.003788,-29.984098,-0.0,-19.044203,2e-06,9.119105,4e-06,25.195048,2.2e-05
0.004545,-29.98508,-1e-06,-19.04426,4e-06,9.120404,9e-06,25.200051,5e-05
0.005303,-29.986049,-2e-06,-19.044444,7e-06,9.121889,1.8e-05,25.205314,0.000101
0.00606,-29.986987,-3e-06,-19.044781,1.2e-05,9.123572,3.4e-05,25.210816,0.000184
0.006818,-29.987872,-5e-06,-19.045298,1.8e-05,9.125465,5.8e-05,25.216535,0.000312
0.007575,-29.988678,-8e-06,-19.046025,2.7e-05,9.127578,9.6e-05,25.222448,0.0005
0.008333,-29.98938,-1.3e-05,-19.046994,3.8e-05,9.129924,0.000149,25.228534,0.000761
0.00909,-29.989949,-2e-05,-19.048241,5e-05,9.132514,0.000224,25.234772,0.001114
0.009848,-29.990356,-2.8e-05,-19.049802,6.2e-05,9.135357,0.000324,25.241142,0.001573
0.010606,-29.99057,-4e-05,-19.051716,7.3e-05,9.138465,0.000457,25.247625,0.002158
0.011363,-29.990557,-5.4e-05,-19.054023,8.1e-05,9.141845,0.000627,25.254205,0.002883
0.012121,-29.990286,-7.3e-05,-19.056764,8.2e-05,9.145506,0.000841,25.260866,0.003765
0.012878,-29.989722,-9.5e-05,-19.059979,7.2e-05,9.149453,0.001107,25.267595,0.004819
0.013636,-29.988832,-0.000122,-19.063709,4.6e-05,9.153691,0.001432,25.274377,0.006057
0.014393,-29.987586,-0.000154,-19.067995,-1e-06,9.158224,0.001823,25.281204,0.007491
0.015151,-29.985952,-0.000191,-19.072876,-7.9e-05,9.163054,0.002288,25.288065,0.009129
0.015908,-29.983905,-0.000235,-19.078387,-0.000194,9.168182,0.002835,25.294951,0.010976
0.016666,-29.981423,-0.000283,-19.084562,-0.000357,9.173607,0.003472,25.301857,0.013037
0.017423,-29.97849,-0.000338,-19.091431,-0.000579,9.179329,0.004207,25.308776,0.015312
0.018181,-29.975095,-0.000399,-19.099018,-0.000874,9.185349,0.005047,25.315702,0.017797
0.018938,-29.971239,-0.000465,-19.107342,-0.001254,9.191663,0.006,25.322632,0.020489
0.019696,-29.966932,-0.000536,-19.116413,-0.001736,9.198273,0.007074,25.329562,0.023377
0.020454,-29.962197,-0.000612,-19.126234,-0.002335,9.205175,0.008274,25.33649,0.026451
0.021211,-29.95707,-0.000691,-19.136795,-0.003069,9.21237,0.009607,25.343413,0.029698
0.021969,-29.951603,-0.000773,-19.148075,-0.003957,9.219855,0.011079,25.350329,0.0331
0.022726,-29.945862,-0.000855,-19.160039,-0.005019,9.227629,0.012694,25.357235,0.036639
0.023484,-29.93993,-0.000936,-19.172644,-0.006275,9.23569,0.014457,25.364131,0.040295
0.024241,-29.933897,-0.001014,-19.185831,-0.007744,9.244035,0.016371,25.371014,0.044047
0.024999,-29.927864,-0.001086,-19.199537,-0.009449,9.252663,0.018438,25.377884,0.047872
0.025756,-29.921936,-0.00115,-19.21369,-0.011409,9.26157,0.020661,25.384736,0.051745
0.026514,-29.916219,-0.001203,-19.228217,-0.013644,9.270754,0.023041,25.391571,0.055642
0.027271,-29.910811,-0.001241,-19.243045,-0.016172,9.280212,0.025576,25.398384,0.059539
0.028029,-29.905806,-0.001261,-19.258101,-0.019013,9.289943,0.028267,25.405173,0.063412
0.028786,-29.901284,-0.00126,-19.273321,-0.022181,9.299943,0.031111,25.411935,0.067237
0.029544,-29.897312,-0.001233,-19.288647,-0.02569,9.310213,0.034105,25.418667,0.07099
0.030302,-29.893937,-0.001176,-19.304033,-0.02955,9.320749,0.037247,25.425363,0.074649
0.031059,-29.891195,-0.001085,-19.31944,-0.03377,9.331552,0.04053,25.432019,0.078195
0.031817,-29.889101,-0.000956,-19.334842,-0.038353,9.342619,0.043951,25.438629,0.081607
0.032574,-29.887659,-0.000785,-19.350221,-0.043299,9.353951,0.047502,25.445187,0.084869
0.033332,-29.886858,-0.000568,-19.365571,-0.048606,9.365546,0.051178,25.451688,0.087964
0.034089,-29.886677,-0.000302,-19.380892,-0.054264,9.377403,0.054971,25.458123,0.090878
0.034847,-29.887085,1.7e-05,-19.396192,-0.060261,9.389522,0.058874,25.464487,0.0936
0.035604,-29.888042,0.000392,-19.411484,-0.06658,9.4019,0.062877,25.470771,0.096119
0.036362,-29.889507,0.000825,-19.426786,-0.073199,9.414536,0.066972,25.47697,0.098427
0.037119,-29.891429,0.001319,-19.442119,-0.080094,9.427429,0.071151,25.483076,0.100518
0.037877,-29.893758,0.001875,-19.457505,-0.087234,9.440577,0.075404,25.489085,0.102388
