Time (s),WAA_angle,WAA_disp,WFE_angle,WFE_disp,EPS_angle,EPS_disp,EFE_angle,EFE_disp
0.0,-28.522449,0.0,-28.450387,0.0,7.285193,0.0,32.535555,0.0
0.000744,-28.55868,0.0,-28.457166,0.0,7.24441,-1e-06,32.531861,0.0
0.001488,-28.598093,0.0,-28.464958,-1e-06,7.200344,-5e-06,32.527841,0.0
0.002232,-28.640566,-1e-06,-28.473815,-4e-06,7.153189,-2.7e-05,32.523508,-2e-06
0.002976,-28.685927,-5e-06,-28.483785,-1.5e-05,7.103196,-9.1e-05,32.51888,-8e-06
0.00372,-28.733971,-1.4e-05,-28.494907,-4.2e-05,7.050658,-0.000243,32.513979,-2.2e-05
0.004464,-28.784461,-3.2e-05,-28.507211,-9.6e-05,6.995897,-0.00055,32.50883,-5e-05
0.005208,-28.837146,-6.6e-05,-28.52072,-0.000194,6.939255,-0.001102,32.503461,-0.0001
0.005952,-28.891761,-0.000124,-28.535453,-0.000359,6.881083,-0.002009,32.497903,-0.000183
0.006696,-28.948038,-0.000218,-28.55142,-0.000616,6.821734,-0.003402,32.492189,-0.000311
0.00744,-29.00571,-0.000359,-28.568629,-0.000997,6.761556,-0.005431,32.486352,-0.000498
0.008184,-29.064515,-0.000564,-28.587085,-0.001537,6.700886,-0.008255,32.480428,-0.000758
0.008928,-29.124202,-0.000851,-28.606787,-0.002276,6.640044,-0.012044,32.474453,-0.001107
0.009672,-29.184532,-0.001241,-28.627734,-0.003257,6.579335,-0.016972,32.468465,-0.001563
0.010417,-29.24528,-0.001758,-28.649923,-0.004527,6.51904,-0.023211,32.462503,-0.002142
0.011161,-29.306237,-0.002427,-28.673345,-0.006132,6.459421,-0.030924,32.456608,-0.002859
0.011905,-29.367209,-0.003277,-28.69799,-0.008121,6.400717,-0.040265,32.450821,-0.00373
0.012649,-29.42802,-0.004337,-28.723844,-0.010545,6.343147,-0.051368,32.445184,-0.004767
0.013393,-29.488509,-0.005641,-28.750887,-0.013451,6.286906,-0.064349,32.439743,-0.005984
0.014137,-29.548531,-0.007222,-28.779096,-0.016888,6.232171,-0.079295,32.434541,-0.007389
0.014881,-29.607956,-0.009113,-28.808442,-0.020901,6.179095,-0.096267,32.429624,-0.008988
0.015625,-29.666667,-0.011352,-28.838894,-0.025533,6.127811,-0.115292,32.425036,-0.010785
0.016369,-29.724564,-0.013975,-28.870416,-0.030824,6.078431,-0.136365,32.420821,-0.012782
0.017113,-29.781556,-0.017018,-28.902969,-0.036807,6.031044,-0.159448,32.417021,-0.014973
0.017857,-29.837566,-0.020516,-28.936513,-0.043515,5.985723,-0.184465,32.413678,-0.017353
0.018601,-29.892528,-0.024507,-28.971003,-0.05097,5.942517,-0.211308,32.410829,-0.019911
0.019345,-29.946384,-0.029024,-29.006392,-0.059194,5.901458,-0.239834,32.408511,-0.022633
