Time,Centered Angle,Centered Low Frequency Carrier,Centered Tremor,Centered Envelope,Centered Torque,Normalized WFE Displacement,centeredTorque
0,48,28,-0.008358668388526834,110,73,124,73
0.000787,48,28,-0.008166033394064024,110,73,124,73
0.001573,48,28,-0.00793664181837395,110,73,124,73
0.00236,48,28,-0.0076744778910821446,110,73,124,73
0.003146,48,28,-0.007381525658506833,110,73,124,73
0.003933,48,28,-0.007062768986350732,110,73,124,73
0.004719,49,28,-0.006722191562484397,110,73,124,73
0.005506,49,28,-0.006364776899722974,110,73,124,73
0.006292,49,28,-0.005994508338688645,110,73,124,73
0.007079,49,28,-0.005616369050691104,110,73,124,73
0.007865,49,28,-0.0052343420407009855,110,73,124,73
0.008652,49,28,-0.004851410150297316,110,73,124,73
0.009438,49,28,-0.004470556060722686,110,73,124,73
0.010225,49,28,-0.004094762295955185,110,73,124,73
0.011012,49,28,-0.0037250112258079868,110,73,125,73
0.011798,49,28,-0.0033622850690822018,110,73,125,73
0.012585,49,28,-0.0030075658967590436,110,73,125,73
0.013371,49,28,-0.0026588356352137727,110,73,125,73
0.014158,49,28,-0.002318076069511957,110,73,126,73
0.014944,49,28,-0.0019822688466774965,110,73,126,73
0.015731,50,28,-0.001651395479032473,110,73,126,73
0.016517,50,29,-0.0013234373475774135,110,73,127,73
0.017304,50,29,-0.0009973757053811237,110,73,127,73
0.01809,50,29,-0.0006721916810179998,110,73,128,73
0.018877,50,29,-0.00034686628203739635,110,73,128,73
0.019663,50,29,-0.000021380398452045476,110,73,129,73
0.02045,50,29,0.00030428519372294324,110,73,130,73
0.021237,50,29,0.0006311498289251599,110,73,130,73
0.022023,50,29,0.0009562329484692605,110,73,131,73
0.02281,50,29,0.0012795540969310305,110,73,132,73
0.023596,50,29,0.001598132918521248,110,73,132,73
0.024383,50,29,0.0019099891534232315,110,73,133,73
0.025169,50,29,0.0022121426341287134,110,73,134,73
0.025956,50,29,0.0025016132817173354,110,73,135,73
0.026742,50,29,0.0027744211021238172,110,73,135,73
0.027529,50,29,0.003028586182408547,110,73,136,73
0.028315,51,29,0.003259128686993728,110,73,137,73
0.029102,51,29,0.0034630688538776293,110,73,137,73
0.029888,51,29,0.003638426990832259,110,73,138,73
0.030675,51,29,0.0037802234716149516,110,73,138,73
0.031462,51,29,0.003886478732087112,110,73,139,73
0.032248,51,29,0.003954213266407085,110,73,139,73
0.033035,51,29,0.003982447623148191,110,73,140,73
0.033821,51,29,0.003967202401423528,110,73,140,73
0.034608,51,29,0.003907498247005318,110,73,141,73
0.035394,51,29,0.0038013558484248917,110,73,141,73
0.036181,51,29,0.003648795933062949,110,73,141,73
0.036967,51,29,0.003449839263225219,110,73,142,73
0.037754,51,29,0.00320350663224883,110,73,142,73
0.03854,51,29,0.0029128188605302913,110,73,142,73
0.039327,51,29,0.0025777967916277914,110,73,142,73
0.040114,51,29,0.002202461288276593,110,73,142,73
0.0409,51,29,0.0017908332284652382,110,73,142,73
0.041687,51,29,0.001348933501467122,110,73,142,73
0.042473,51,29,0.0008807830038890181,110,73,141,73
0.04326,51,29,0.00039440263571608467,110,73,141,73
0.044046,51,29,-0.0001021867036837066,110,73,141,73
0.044833,51,29,-0.0006009641194927563,110,73,141,73
0.045619,51,29,-0.0010929087254153637,110,73,140,73
0.046406,51,29,-0.0015699996476566942,110,73,140,73
0.047192,51,29,-0.0020242160288681046,110,73,139,73
0.047979,51,29,-0.002445537032099564,110,73,139,73
0.048765,51,29,-0.0028269418447629366,110,73,138,73
0.049552,51,30,-0.003163409682594474,110,73,137,73
0.050339,51,30,-0.0034479197935918236,110,73,136,73
0.051125,51,30,-0.003676451461968152,110,73,136,73
0.051912,51,30,-0.003845984012077167,110,73,135,73
0.052698,51,30,-0.003954496812358824,110,73,134,73
0.053485,51,30,-0.003999969279235759,110,73,133,73
0.054271,51,30,-0.003984380881051872,110,73,132,73
0.055058,51,30,-0.003906711141956821,110,73,131,73
0.055844,51,30,-0.003769939645820201,110,73,130,73
0.056631,51,30,-0.003577046040092549,110,73,129,73
0.057417,51,30,-0.0033300100397042447,110,73,128,73
