Time,Centered Angle,Centered Low Frequency Carrier,Centered Tremor,Centered Envelope,Centered Torque,Normalized WFE Displacement,centeredTorque
0,58,10,0.21492991910486337,143,129,124,129
0.000777,58,9,0.21200839468322272,143,129,124,129
0.001553,57,9,0.20835879363412435,143,130,124,130
0.00233,57,9,0.20394304322736975,143,131,124,131
0.003106,56,8,0.19872307765286085,143,132,124,132
0.003883,55,8,0.1926688381075645,143,133,124,133
0.004659,54,8,0.1857522728810647,143,134,124,134
0.005436,53,7,0.17795333743957123,143,135,124,135
0.006212,52,7,0.16925199450844228,143,136,124,136
0.006989,51,7,0.1596352141530583,143,137,123,137
0.007765,49,6,0.14909097385806128,143,138,123,138
0.008542,48,6,0.13761025860488788,143,139,122,139
0.009318,46,6,0.12518806094751536,143,140,121,140
0.010095,45,6,0.1118223810864032,143,142,119,142
0.010872,43,5,0.09751422694055444,143,143,117,143
0.011648,41,5,0.08226861421762612,143,144,115,144
0.012425,39,5,0.06609656648203494,143,145,112,145
0.013201,37,4,0.04901111522103912,143,146,109,146
0.013978,35,4,0.031033299908665605,143,147,105,147
0.014754,33,4,0.012186168067498336,143,148,100,148
0.015531,31,3,-0.007501224671816911,143,149,94,149
0.016307,28,3,-0.02799881451329359,143,150,87,150
0.017084,26,3,-0.049273529440716675,143,151,80,151
0.01786,23,2,-0.07129028916516078,144,152,71,152
0.018637,21,2,-0.09401300507495196,144,152,62,152
0.019413,18,2,-0.11740758018815627,144,153,51,153
0.02019,15,1,-0.1414349091076793,144,154,40,154
0.020967,12,1,-0.16606087797899768,144,155,27,155
0.021743,10,1,-0.19124836445059512,144,155,13,155
0.02252,7,1,-0.21695823763713445,144,156,1,156
0.023296,4,1,-0.24315435808549232,145,157,1,157
0.024073,1,1,-0.2697955777436116,145,157,1,157
0.024849,1,1,-0.2968427399323297,145,157,1,157
0.025626,1,1,-0.3242566793201874,145,158,1,158
0.026402,1,1,-0.35199622190126467,145,158,1,158
0.027179,1,1,-0.38002018497610496,146,159,1,159
0.027955,1,1,-0.4082903771358362,146,159,1,159
0.028732,1,1,-0.4367665982494624,146,159,1,159
0.029508,1,1,-0.4654116394544696,146,159,1,159
0.030285,1,1,-0.4941862831506794,147,159,1,159
