time,rawAngle,baseAngle,tremor,envelope,torque,wfeDisp,centeredTorque
0.0,58.0,10.0,0.21492991910486337,143.0,110.0,124.0,110
0.000777,58.0,9.0,0.21200839468322272,143.0,110.0,124.0,110
0.001553,57.0,9.0,0.20835879363412435,143.0,110.0,124.0,110
0.00233,57.0,9.0,0.20394304322736975,143.0,110.0,124.0,110
0.003106,56.0,8.0,0.19872307765286085,143.0,109.0,124.0,109
0.003883,55.0,8.0,0.1926688381075645,143.0,109.0,124.0,109
0.004659,54.0,8.0,0.1857522728810647,143.0,109.0,124.0,109
0.005436,53.0,7.0,0.17795333743957123,143.0,109.0,124.0,109
0.006212,52.0,7.0,0.16925199450844228,143.0,109.0,124.0,109
0.006989,51.0,7.0,0.1596352141530583,143.0,109.0,123.0,109
0.007765,49.0,6.0,0.14909097385806128,143.0,108.0,123.0,108
0.008542,48.0,6.0,0.13761025860488788,143.0,108.0,122.0,108
0.009318,46.0,6.0,0.12518806094751536,143.0,108.0,121.0,108
0.010095,45.0,6.0,0.1118223810864032,143.0,108.0,119.0,108
0.010872,43.0,5.0,0.09751422694055444,143.0,107.0,117.0,107
0.011648,41.0,5.0,0.08226861421762612,143.0,107.0,115.0,107
0.012425,39.0,5.0,0.06609656648203494,143.0,107.0,112.0,107
0.013201,37.0,4.0,0.04901111522103912,143.0,106.0,109.0,106
0.013978,35.0,4.0,0.031033299908665605,143.0,106.0,105.0,106
0.014754,33.0,4.0,0.012186168067498336,143.0,106.0,100.0,106
0.015531,31.0,3.0,-0.007501224671816911,143.0,105.0,94.0,105
0.016307,28.0,3.0,-0.02799881451329359,143.0,105.0,87.0,105
0.017084,26.0,3.0,-0.049273529440716675,143.0,105.0,80.0,105
0.01786,23.0,2.0,-0.07129028916516078,144.0,104.0,71.0,104
0.018637,21.0,2.0,-0.09401300507495196,144.0,104.0,62.0,104
0.019413,18.0,2.0,-0.11740758018815627,144.0,103.0,51.0,103
0.02019,15.0,1.0,-0.1414349091076793,144.0,103.0,40.0,103
0.020967,12.0,1.0,-0.16606087797899768,144.0,103.0,27.0,103
0.021743,10.0,1.0,-0.19124836445059512,144.0,102.0,13.0,102
0.02252,7.0,1.0,-0.21695823763713445,144.0,102.0,1.0,102
0.023296,4.0,1.0,-0.24315435808549232,145.0,101.0,1.0,101
0.024073,1.0,1.0,-0.2697955777436116,145.0,101.0,1.0,101
0.024849,1.0,1.0,-0.2968427399323297,145.0,100.0,1.0,100
0.025626,1.0,1.0,-0.3242566793201874,145.0,100.0,1.0,100
0.026402,1.0,1.0,-0.35199622190126467,145.0,99.0,1.0,99
0.027179,1.0,1.0,-0.38002018497610496,146.0,98.0,1.0,98
0.027955,1.0,1.0,-0.4082903771358362,146.0,98.0,1.0,98
0.028732,1.0,1.0,-0.4367665982494624,146.0,97.0,1.0,97
0.029508,1.0,1.0,-0.4654116394544696,146.0,97.0,1.0,97
0.030285,1.0,1.0,-0.4941862831506794,147.0,96.0,1.0,96
0.031062,1.0,1.0,-0.5230543029974957,147.0,95.0,1.0,95
0.031838,1.0,1.0,-0.5519784639145837,147.0,95.0,1.0,95
0.032615,1.0,1.0,-0.580922522086005,148.0,94.0,1.0,94
0.033391,1.0,1.0,-0.609848224967885,148.0,94.0,1.0,94
0.034168,1.0,1.0,-0.6387183112996149,148.0,93.0,1.0,93
0.034944,1.0,1.0,-0.6674965111186715,148.0,92.0,1.0,92
0.035721,1.0,1.0,-0.6961445457791205,149.0,92.0,1.0,92
0.036497,1.0,1.0,-0.7246261279737912,149.0,91.0,1.0,91
0.037274,1.0,1.0,-0.7529049617602102,149.0,90.0,1.0,90
0.03805,1.0,1.0,-0.7809457425902915,150.0,90.0,1.0,90
0.038827,1.0,1.0,-0.8087151573438813,150.0,89.0,1.0,89
0.039603,1.0,1.0,-0.836177884366156,150.0,88.0,1.0,88
0.04038,1.0,1.0,-0.8633025935089078,151.0,87.0,1.0,87
0.041157,1.0,1.0,-0.8900559461758002,151.0,87.0,1.0,87
0.041933,1.0,1.0,-0.9164055953715298,151.0,86.0,1.0,86
0.04271,1.0,1.0,-0.9423201857550433,152.0,85.0,1.0,85
0.043486,1.0,1.0,-0.9677643536967331,152.0,85.0,1.0,85
0.044263,1.0,1.0,-0.9927067273396974,153.0,84.0,1.0,84
0.045039,1.0,1.0,-1.0171119266651416,153.0,83.0,1.0,83
0.045816,1.0,1.0,-1.0409465635618305,153.0,83.0,1.0,83
0.046592,1.0,1.0,-1.064178241899667,154.0,82.0,1.0,82
0.047369,1.0,1.0,-1.0867715576074375,154.0,81.0,1.0,81
0.048145,1.0,1.0,-1.1086950987547177,154.0,81.0,1.0,81
0.048922,1.0,1.0,-1.1299164456379516,155.0,80.0,1.0,80
0.049698,1.0,1.0,-1.1504031708707498,155.0,79.0,1.0,79
0.050475,1.0,1.0,-1.1701228394783627,155.0,79.0,1.0,79
0.051252,1.0,1.0,-1.189044008996403,156.0,78.0,1.0,78
0.052028,1.0,1.0,-1.2071322295737617,156.0,77.0,1.0,77
0.052805,1.0,1.0,-1.2243540440797576,156.0,77.0,1.0,77
0.053581,1.0,1.0,-1.2406729882155154,156.0,76.0,1.0,76
0.054358,1.0,1.0,-1.2560545906295524,157.0,76.0,1.0,76
0.055134,1.0,1.0,-1.270466373037598,157.0,75.0,1.0,75
0.055911,1.0,1.0,-1.2838768503466331,157.0,75.0,1.0,75
0.056687,1.0,1.0,-1.2962595307831368,158.0,74.0,1.0,74
0.057464,1.0,1.0,-1.30759091602552,158.0,74.0,1.0,74
0.05824,1.0,1.0,-1.317856501340722,158.0,73.0,1.0,73
0.059017,1.0,1.0,-1.3270437757250364,158.0,73.0,1.0,73
0.059793,1.0,1.0,-1.3351482220490027,159.0,72.0,1.0,72
0.06057,1.0,1.0,-1.3421703172064556,159.0,72.0,1.0,72
0.061347,1.0,1.0,-1.3481105322676843,159.0,72.0,1.0,72
0.062123,1.0,1.0,-1.3529713326366337,160.0,71.0,1.0,71
0.0629,1.0,1.0,-1.3567531782121458,160.0,71.0,1.0,71
0.063676,1.0,1.0,-1.3594545235532298,160.0,71.0,1.0,71
0.064453,1.0,1.0,-1.3610658180482573,160.0,70.0,1.0,70
0.065229,1.0,1.0,-1.3615755060881198,160.0,70.0,1.0,70
0.066006,1.0,1.0,-1.3609620272432437,161.0,70.0,1.0,70
0.066782,1.0,1.0,-1.3592008164444955,161.0,70.0,1.0,70
0.067559,1.0,1.0,-1.3562593041678441,161.0,70.0,1.0,70
0.068335,1.0,1.0,-1.352101916622761,161.0,70.0,1.0,70
0.069112,1.0,1.0,-1.3466880759443263,161.0,70.0,1.0,70
0.069888,1.0,1.0,-1.3399772003889785,162.0,70.0,1.0,70
0.070665,1.0,1.0,-1.331928704533803,162.0,70.0,1.0,70
0.071442,1.0,1.0,-1.322504999479375,162.0,70.0,1.0,70
0.072218,1.0,1.0,-1.3116754930560122,162.0,70.0,1.0,70
0.072995,1.0,1.0,-1.2994165900334143,162.0,70.0,1.0,70
0.073771,1.0,1.0,-1.285712692333615,162.0,70.0,1.0,70
0.074548,1.0,1.0,-1.2705571992471945,162.0,71.0,1.0,71
0.075324,1.0,1.0,-1.253950507652594,163.0,71.0,1.0,71
0.076101,1.0,1.0,-1.2359000122385864,163.0,71.0,1.0,71
0.076877,1.0,1.0,-1.216419105729668,163.0,71.0,11.0,71
0.077654,1.0,1.0,-1.195525179114419,163.0,72.0,53.0,72
0.07843,1.0,1.0,-1.1732396218766745,163.0,72.0,97.0,72
0.079207,1.0,1.0,-1.149583822229411,163.0,73.0,142.0,73
0.079983,1.0,1.0,-1.1245841673513257,163.0,73.0,187.0,73
0.08076,1.0,1.0,-1.0982660436259248,163.0,74.0,234.0,74
0.081537,1.0,1.0,-1.0706628368830668,163.0,74.0,255.0,74
