Time,Centered Angle,Centered Low Frequency Carrier,Centered Tremor,Centered Envelope,Centered Torque,Normalized WFE Displacement,centeredTorque
0,234,255,0.2549286800036544,128,122,128,122
0.000758,234,255,0.2588005735362062,128,122,128,122
0.001515,234,255,0.2626504942314329,128,122,128,122
0.002273,234,255,0.2664672790164697,128,122,128,122
0.00303,234,254,0.2702327638684376,128,122,128,122
0.003788,234,254,0.27392878386378433,128,122,128,122
0.004545,234,254,0.27753617322815677,128,122,128,122
0.005303,234,254,0.28103176538689306,128,123,128,123
0.00606,234,254,0.28438939301599975,128,123,128,123
0.006818,234,254,0.28758188809371604,128,123,128,123
0.007575,234,254,0.2905790819525591,128,123,128,123
0.008333,234,254,0.2933488053319156,128,124,128,124
0.00909,234,253,0.29585488843109603,128,124,128,124
0.009848,234,253,0.298061160962863,128,125,128,125
0.010606,234,253,0.29992845220742614,128,125,128,125
0.011363,234,253,0.30141659106686947,128,126,128,126
0.012121,234,253,0.3024844061200173,128,126,128,126
0.012878,234,253,0.3030917256776824,128,127,128,127
0.013636,233,253,0.3031973778383048,128,128,128,128
0.014393,233,253,0.3027601905439837,128,129,128,129
0.015151,233,252,0.30174099163682616,128,129,128,129
0.015908,233,252,0.3001046089156419,128,130,128,130
0.016666,233,252,0.29781687019292397,128,131,128,131
0.017423,233,252,0.2948476033521334,128,132,128,132
0.018181,232,252,0.2911726364052504,128,133,128,133
0.018938,232,252,0.28677279755054474,128,134,128,134
0.019696,232,252,0.2816379152305767,128,135,128,135
0.020454,231,251,0.2757648181904131,128,137,128,137
0.021211,231,251,0.26916333553597227,128,138,128,138
0.021969,231,251,0.26185429679256533,128,139,128,139
0.022726,230,251,0.25387253196353043,128,140,128,140
0.023484,230,251,0.24526087158897564,128,140,128,140
0.024241,230,251,0.23607814680456277,128,141,128,141
0.024999,229,251,0.22638718940040675,128,142,128,142
0.025756,229,251,0.21625983187990527,128,143,128,143
0.026514,228,250,0.20576890751863194,128,143,127,143
0.027271,228,250,0.1949872504231616,128,143,127,143
0.028029,227,250,0.18398769558983288,128,144,127,144
0.028786,227,250,0.1728340789634494,128,144,127,144
0.029544,226,250,0.16158423749580278,128,144,127,144
0.030302,226,250,0.1502840092041169,128,144,127,144
0.031059,225,250,0.13897223322925964,128,144,127,144
0.031817,225,249,0.12767474989378655,128,144,127,144
0.032574,224,249,0.11640940075969902,128,144,126,144
0.033332,224,249,0.10518202868599817,128,144,126,144
0.034089,223,249,0.09399247788587807,128,144,126,144
0.034847,223,249,0.08283259398365807,128,144,126,144
0.035604,222,249,0.07168922407130901,128,144,125,144
0.036362,222,248,0.06054421676462342,128,144,125,144
0.037119,221,248,0.04937642225891913,128,144,125,144
0.037877,221,248,0.0381636923843502,128,145,125,145
0.038634,220,248,0.026882880660687836,128,145,124,145
0.039392,220,248,0.01551284235160992,128,145,124,145
0.04015,219,248,0.004034434518434413,128,145,124,145
0.040907,219,248,-0.007571483926718172,128,145,123,145
0.041665,218,247,-0.019316052168353928,128,146,123,146
0.042422,218,247,-0.0312114074357104,128,146,123,146
0.04318,217,247,-0.0432626849514826,128,146,123,146
0.043937,217,247,-0.05547101788131203,128,146,122,146
0.044695,216,247,-0.06783553728395554,128,147,122,147
0.045452,216,247,-0.08034937206225254,128,147,122,147
0.04621,215,247,-0.09300164891490258,128,147,121,147
0.046967,215,246,-0.10577849228901769,128,147,121,147
0.047725,214,246,-0.11866402433358231,128,148,121,148
0.048482,214,246,-0.13163636485379693,128,148,121,148
0.04924,213,246,-0.14467163126630758,128,148,120,148
0.049997,213,246,-0.1577439385554454,128,148,120,148
0.050755,212,246,-0.1708223992304083,128,148,120,148
0.051513,211,245,-0.18387512328345967,128,148,120,148
0.05227,211,245,-0.19686721814919822,128,148,120,148
0.053028,210,245,-0.2097617886648573,128,148,119,148
0.053785,210,245,-0.2225229370317537,128,148,119,148
0.054543,209,245,-0.2351107627778358,128,147,119,147
0.0553,209,245,-0.2474893627214004,128,147,119,147
0.056058,208,245,-0.25962583093601327,128,147,119,147
0.056815,208,244,-0.27148725871661744,128,146,119,146
0.057573,207,244,-0.2830487345469024,128,146,119,146
0.05833,207,244,-0.2942893440679572,128,146,119,146
0.059088,206,244,-0.30519517004821306,128,145,119,145
0.059845,206,244,-0.31575929235470857,128,145,119,145
0.060603,205,244,-0.3259817879257084,128,144,119,144
0.061361,205,243,-0.33586973074469006,128,144,118,144
0.062118,204,243,-0.34543719181575494,128,143,118,143
0.062876,204,243,-0.35470423914043403,128,143,118,143
0.063633,204,243,-0.3636949376959705,128,143,118,143
0.064391,203,243,-0.37243734941506096,128,142,118,142
0.065148,203,243,-0.3809625331671021,128,142,119,142
0.065906,202,242,-0.3893015447409167,128,142,119,142
0.066663,202,242,-0.3974884368290923,128,142,119,142
0.067421,202,242,-0.40555125901378763,128,142,119,142
0.068178,201,242,-0.41351905775418885,128,141,119,141
0.068936,201,242,-0.4214158763755214,128,141,119,141
0.069693,200,242,-0.4292617550597084,128,141,119,141
0.070451,200,242,-0.43707173083763984,128,141,119,141
0.071209,200,241,-0.4448538375831153,128,141,119,141
0.071966,199,241,-0.4526131060084281,128,141,119,141
0.072724,199,241,-0.460345563661647,128,141,119,141
0.073481,198,241,-0.46804423492559283,128,141,120,141
0.074239,198,241,-0.47569614101854196,128,141,120,141
0.074996,198,241,-0.483286299996648,128,141,120,141
0.075754,197,240,-0.49079472675809177,128,141,120,141
0.076511,197,240,-0.4981984330490007,128,141,120,141
0.077269,197,240,-0.5054754274711026,128,141,120,141
0.078026,196,240,-0.5126007154911867,128,140,121,140
0.078784,196,240,-0.5195502994523269,128,140,121,140
0.079541,195,240,-0.5263011785868953,128,140,121,140
0.080299,195,239,-0.5328303490313654,128,140,121,140
0.081057,195,239,-0.5391148038429388,128,139,122,139
0.081814,194,239,-0.5451325330179732,128,139,122,139
0.082572,194,239,-0.550863523512218,128,138,122,138
