time,rawAngle,baseAngle,tremor,envelope,torque,wfeDisp,centeredTorque
0.0,143,43,0.6668699436327384,133,113,124,113
0.000744,142,43,0.6695703349394384,133,113,124,113
0.001488,141,42,0.6712622660035061,133,112,124,112
0.002232,140,42,0.6718928235844671,133,112,124,112
0.002976,139,41,0.6714130917054709,133,112,124,112
0.00372,138,41,0.6697831518271913,133,112,124,112
0.004464,137,40,0.6669720830231292,133,112,124,112
0.005208,135,39,0.6629559621563219,133,112,124,112
0.005952,134,39,0.6577148640573676,133,112,123,112
0.006696,132,38,0.6512378617037685,133,111,123,111
0.00744,130,38,0.6435160264004958,134,111,122,111
0.008184,128,37,0.6345434279617357,134,111,121,111
0.008928,126,37,0.6243201348937576,134,111,120,111
0.009672,123,36,0.6128462145789059,134,111,118,111
0.010417,121,36,0.6001237334605828,134,110,116,110
0.011161,118,35,0.586160757229259,134,110,112,110
0.011905,116,35,0.5709663510094013,134,110,109,110
0.012649,113,34,0.5545535795472524,134,110,104,110
0.013393,110,33,0.5369415073994418,134,109,99,109
0.014137,107,33,0.5181521991223385,134,109,92,109
0.014881,104,32,0.4982137194621304,134,109,85,109
0.015625,100,32,0.4771561335455547,134,109,76,109
0.016369,97,31,0.45501450707118835,134,108,66,108
0.017113,93,31,0.43182690650126176,134,108,55,108
0.017857,90,30,0.4076323992539599,134,108,42,108
0.018601,86,30,0.3824750538961066,134,107,28,107
0.019345,82,29,0.35640094033615805,134,107,12,107
0.020089,78,29,0.32945613001756924,134,107,1,107
0.020833,74,28,0.30169169611227115,134,106,1,106
0.021577,70,28,0.27316271371436784,134,106,1,106
0.022321,65,27,0.2439252600338727,134,106,1,106
0.023065,61,26,0.21404241459046885,134,105,1,105
0.023809,57,26,0.1835772594072613,134,105,1,105
0.024553,52,25,0.15259887920440374,134,105,1,105
0.025297,48,25,0.1211783615925212,134,104,1,104
0.026041,43,24,0.08938779726589034,134,104,1,104
0.026785,39,24,0.05730028019532391,134,103,1,103
0.027529,34,23,0.024989907820695184,134,103,1,103
0.028273,30,23,-0.007471218757024286,134,103,1,103
0.029017,25,22,-0.04000999458421373,134,102,1,102
0.029761,20,22,-0.07255731066363603,134,102,1,102
0.030506,16,21,-0.10504405376412601,134,102,1,102
